jams_file,track_name,artist_name,album_name,track_number,duration,release_year,musicbrainz,isrc,deezer_id,deezer_url,youtube_url,acousticbrainz,spotify_id
ireal-pro_1536.jams,Manha De Carnaval (Black Orpheus),Bonfa Luiz,An Introduction To... Jazz on Film,56,181.0,07/01/2017,,QM4TW1711198,139861155.0,https://www.deezer.com/track/139861155,https://music.youtube.com/watch?v=FNK-OaWhwGU,,
ireal-pro_353.jams,"Day In, Day Out",Bloom Rube,"CROSBY, Bob: Dixieland Shuffle (1935-1939)",20,185.0,23/07/2012,fc1f058f-f760-4841-918e-bb3188248a39,HKI190232720,16762566.0,https://www.deezer.com/track/16762566,https://music.youtube.com/watch?v=HufQowlCGac,,
ireal-pro_2028.jams,Kindhearted Woman Blues,Johnson Robert,Sound Of Robert Johnson,5,171.0,03/09/2014,,DELJ81472544,85751384.0,https://www.deezer.com/track/85751384,https://music.youtube.com/watch?v=3IcotmtEqjY,,
ireal-pro_59.jams,A Child Is Born,Hanna Roland,Tributaries - Reflections on Tommy Flanagan,2,410.0,19/05/2017,9a5909b1-d58a-4013-a725-9d17a3a5d411,USLZJ1771973,371642411.0,https://www.deezer.com/track/371642411,https://music.youtube.com/watch?v=k0RXTpqM4Nw,,
ireal-pro_1300.jams,Tin Tin Deo,Gillespie Dizzy,Work From Home with Dizzy Gillespie,4,255.0,05/02/2015,1e1c1aec-11d2-4d7b-9334-4e971f92a174,USPR35602526,953370352.0,https://www.deezer.com/track/953370352,https://music.youtube.com/watch?v=8PEBQGLK6QA,,
ireal-pro_1658.jams,All Day Music,War (Jerry Goldstein-War),Anthology 1970 - 1994,6,239.293,,9c3fdcbb-c524-4758-b558-2bd5440d37e5,,,,https://music.youtube.com/watch?v=U5pX4mRQcFo,,
ireal-pro_142.jams,As Long As I Live,Arlen Harold,Harold Arlen: That Old Arlen Magic,42,172.0,01/01/2012,5fa41166-7e76-4205-a556-14ece75f31c4,GBAJU1202296,123591166.0,https://www.deezer.com/track/123591166,https://music.youtube.com/watch?v=d1ex_s7lyV0,,
ireal-pro_696.jams,Indiana (Back Home Again In),Hanley James,Peggy Gilbert Dixie Belles: Dixieland Jazz,11,236.0,01/01/2006,c077b2fc-83cb-485f-9f31-01c7f543b2f2,USJLU0810011,47560931.0,https://www.deezer.com/track/47560931,https://music.youtube.com/watch?v=ggt4krPQ260,,
ireal-pro_365.jams,Del Sasser,Jones Sam,Visitation,6,506.0,01/01/2016,901fd222-1b81-4630-99da-9e411c1dad5b,DKARS8800806,128744799.0,https://www.deezer.com/track/128744799,https://music.youtube.com/watch?v=6o4Dq0_HYaY,,
ireal-pro_642.jams,I'm Confessin' (That I Love You),Daugherty-Neiberg-Reynolds,American Tunes,3,172.088,,709c838b-aeb2-4e46-aa88-ab93aeafa17f,,,,https://music.youtube.com/watch?v=-zBUt4K_2zg,,
ireal-pro_1907.jams,Oceania,"Björk (Björk, Sjon)",Medúlla,9,204.853,,d0423e9d-c956-4de3-b91f-9521b76331db,,,,https://music.youtube.com/watch?v=xqQI9XN_rl4,,
ireal-pro_583.jams,I Don't Know Enough About You,Lee Peggy,Miss Peggy Lee,2,200.0,01/07/2022,125868e5-1500-4f74-9080-e0e98e41583f,USCA28900591,1802212847.0,https://www.deezer.com/track/1802212847,https://music.youtube.com/watch?v=PCxE2oALgaE,,
ireal-pro_7.jams,Capullito De Alelí,Hernandez Rafael,Su Musica,10,248.0,01/01/1994,c58d05cd-d99f-4f80-bddd-2f6a501bfb46,QM4TW2105260,1198001872.0,https://www.deezer.com/track/1198001872,https://music.youtube.com/watch?v=Lnpvb1R2LBI,,
ireal-pro_196.jams,Bill's Hit Tune,Evans Bill,The Brilliant,7,428.0,09/10/2008,37c8b04c-d0c0-460a-86c7-5e3712c7b0e7,NLA410815170,1181370332.0,https://www.deezer.com/track/1181370332,https://music.youtube.com/watch?v=XKzdvvOoLxg,,
ireal-pro_379.jams,Diverse,Parker Charlie,Bird: The Complete Charlie Parker On Verve,10,195.0,07/11/1988,edae2f8b-a1a7-493f-a948-b1b1fb580111,USGR10200469,541879782.0,https://www.deezer.com/track/541879782,https://music.youtube.com/watch?v=-oKR460Px-E,,
ireal-pro_2004.jams,Confessin' The Blues,B.B. King (McShann-Brown),Confessin’ the Blues,6,145.413,,f0e58f04-a279-419d-beb7-aff33076e8c5,,,,https://music.youtube.com/watch?v=9YjObWNpocE,,
ireal-pro_961.jams,"Nearness Of You, The",Carmichael Hoagy,Stardust Melody,14,288.0,05/06/2007,,NLB150200792,10721797.0,https://www.deezer.com/track/10721797,https://music.youtube.com/watch?v=CiXNv0csnnw,,
ireal-pro_982.jams,Nothing Personal,Grolnick Don,Michael Brecker,,332.0,,,,,,https://music.youtube.com/watch?v=NfpGvfsYux0,,
ireal-pro_1803.jams,Hyperballad,"Björk (Björk, Hooper, De Vries)",Post Live,7,305.586,,7fb3ad99-7c1e-4cb5-81d5-32021ebecf4d,,,,https://music.youtube.com/watch?v=r2Kai_fkIks,,
ireal-pro_488.jams,Friday The 13th,Monk Thelonious,Air Hadouk,6,320.0,01/10/2016,0e7f638a-1746-4855-ae02-8381113e4dfc,FR2130970055,505066942.0,https://www.deezer.com/track/505066942,https://music.youtube.com/watch?v=wdYDgNN1d2E,,
ireal-pro_1630.jams,Mammas Don't Let Your Babies Grow Up to Be Cowboys,Willie and Waylon(Bruce-Bruce),Waylon Jennings: Legendary Country Singer,9,153.56,,e88e68ee-cd6e-43fa-a168-165b4725ba58,,,,https://music.youtube.com/watch?v=i85ob2DackI,,
ireal-pro_1360.jams,Watermelon Man,Hancock Herbie,Head Hunters,2,388.0,10/07/2006,f2244801-38b8-4397-bf86-21395ec30679,USSM17300166,1012605.0,https://www.deezer.com/track/1012605,https://music.youtube.com/watch?v=ppJQKfqhFfE,,
